Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Charge amount (EUR),Finra fee (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2021-07-06 13:32:02,US16383L1061,CCXI,"ChemoCentryx",1.0000000000,14.18,USD,1.18305,0.03,11.97,,,,EOF1431349356,0.02
Market sell,2021-07-06 13:34:30,US50202M1027,LI,"Li Auto",3.5000000000,32.58,USD,1.18342,0.74,96.22,,,,EOF1431351322,0.14
Market buy,2021-07-06 13:49:02,US11776U3005,BSQR,"BSQUARE ",10.0000000000,5.48,USD,1.18300,,46.39,,,,EOF1432073954,0.07
Market buy,2021-07-06 14:18:00,US2297942011,CUEN,"Cuentas",5.0000000000,7.03,USD,1.18357,,29.74,,,,EOF1432088610,0.04
Market buy,2021-07-06 14:19:56,US56804T2050,MRIN,"Marin Software ",1.0000000000,25.51,USD,1.18313,,21.59,,,,EOF1432089669,0.03
Market sell,2021-07-06 14:31:07,US2297942011,CUEN,"Cuentas",5.0000000000,7.20,USD,1.18294,0.73,30.38,,,,EOF1432094491,0.05
Market buy,2021-07-06 14:36:23,US68557F2092,OSAT,"Orbsat",3.0000000000,9.10,USD,1.18202,,23.13,,,,EOF1432096649,0.03
Market sell,2021-07-06 14:45:54,US11776U3005,BSQR,"BSQUARE ",5.0000000000,5.67,USD,1.18312,0.80,23.92,,,,EOF1432099605,0.04
Market sell,2021-07-06 15:06:07,US11776U3005,BSQR,"BSQUARE ",5.0000000000,5.60,USD,1.18270,0.51,23.63,,,,EOF1432105277,0.04
Market sell,2021-07-19 13:44:51,US56804T2050,MRIN,"Marin Software ",1.0000000000,8.02,USD,1.18231,-14.78,6.77,,,,EOF1451908418,0.01
Market sell,2021-07-19 13:45:16,US68557F2092,OSAT,"Orbsat",3.0000000000,6.40,USD,1.18215,-6.86,16.22,,,,EOF1451911169,0.02
Market buy,2021-07-22 13:58:56,US5657881067,MARA,"Marathon Digital Holdings",3.0000000000,24.51,USD,1.18131,,62.33,,,,EOF1458830504,0.09
Market buy,2021-08-05 13:30:09,US7707001027,HOOD,"Robinhood",0.3300000000,63.00,USD,1.18393,,17.59,,,,EOF1482139055,0.03
Market sell,2021-09-07 15:25:08,US5657881067,MARA,"Marathon Digital Holdings",3.0000000000,39.97,USD,1.18406,10.23,101.12,,,,EOF1532608922,0.15
Limit buy,2021-09-13 13:30:03,US5657881067,MARA,"Marathon Digital Holdings",3.0000000000,35.00,USD,1.17911,,89.18,,,,EOF1541291326,0.13
Market buy,2021-10-22 13:30:16,US25400Q1058,DWAC,"Digital World Acquisition",0.5000000000,125.00,USD,1.16356,,53.79,,,,EOF1623657477,0.08
Market sell,2021-10-22 13:30:27,US25400Q1058,DWAC,"Digital World Acquisition",0.5000000000,124.96,USD,1.16376,-0.02,53.61,,,,EOF1623658561,0.08
Market buy,2021-10-22 13:40:20,US25400Q1058,DWAC,"Digital World Acquisition",0.1900000000,158.89,USD,1.16412,,25.97,,,,EOF1623669492,0.04
Market sell,2021-11-15 14:43:58,US7707001027,HOOD,"Robinhood",0.3300000000,35.04,USD,1.14396,-7.45,10.09,,,,EOF1667612139,0.02
