Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2022-05-18 08:03:34,IE00BLRPRG98,3NGL,"WisdomTree Natural Gas 3x Leveraged",0.0200000000,508.51,USD,1.05129,,9.68,,,,,,EOF1914669484,0.01
Market buy,2022-05-18 13:30:05,US48138M1053,JMIA,"Jumia Technologies",2.0000000000,6.94,USD,1.05190,,13.22,,,,,,EOF1914678886,0.02
Market buy,2022-05-18 13:30:08,US76954A1034,RIVN,"Rivian Automotive",0.5000000000,27.15,USD,1.05191,,12.92,,,,,,EOF1914679801,0.02
Market buy,2022-05-18 13:30:08,US09354A1007,BLNK,"Blink Charging",1.0000000000,17.09,USD,1.05191,,16.27,,,,,,EOF1914679734,0.02
Market buy,2022-05-18 13:31:49,US62914V1061,NIO,"NIO",3.0000000000,16.29,USD,1.05182,,46.53,,,,,,EOF1914683289,0.07
Market sell,2022-05-19 09:07:53,IE00BLRPRG98,3NGL,"WisdomTree Natural Gas 3x Leveraged",0.0200000000,468.60,USD,1.04957,-0.74,8.92,,,,,,EOF1915690386,0.01
Market buy,2022-05-23 13:30:10,US69608A1088,PLTR,"Palantir",1.0000000000,8.02,USD,1.06516,,7.54,,,,,,EOF1920029802,0.01
Dividend (Ordinary),2022-06-02 12:51:17,US4581401001,INTC,"Intel",1.0000000000,0.31,USD,Not available,,0.29,0.05,USD,,,,,
Market buy,2022-06-08 11:00:54,XS2193973133,3LIE,"GraniteShares 3x Long NIO",100.0000000000,0.04,EUR,1.00000,,4.45,,,,,,EOF1938881470,
Market sell,2022-06-08 15:11:30,US0378331005,AAPL,"Apple",0.1000000000,149.22,USD,1.07370,-1.42,13.88,,,,,,EOF1939911141,0.02
Market sell,2022-06-08 15:11:58,IE00BYM8JD58,XRES,"Invesco Real Estate S&P US Select Sector (Acc)",0.5000000000,23.63,USD,1.07377,-0.76,10.98,,,,,,EOF1939911192,0.02
Market sell,2022-06-08 15:12:42,US30303M1027,META,"Meta Platforms",0.5000000000,199.90,USD,1.07380,-15.27,92.94,,,,,,EOF1939911242,0.14
Market sell,2022-06-08 15:12:51,US5949181045,MSFT,"Microsoft",0.1000000000,271.48,USD,1.07377,-2.76,25.24,,,,,,EOF1939911250,0.04
Market buy,2022-06-08 15:13:54,GB00B15KY104,NGAS,"WisdomTree Natural Gas",1500.0000000000,0.04,USD,1.07358,,55.69,,,,,,EOF1939911378,0.08
